Año,Cód. Institución,Nombre Institución,Tipo Institución,Clasificación1,Clasificación2,Clasificación3,Clasificación4,Clasificación5,Clasificación6,Comuna donde se imparte la carrera o programa,Nombre Region,Cód. Carrera,Carrera Genérica,Nombre Programa,Horario,Tipo Programa,Area Conocimiento,Tipo Carrera,IngresoDirecto,Año Inicio Actividades,Nombre del Campus,Duración (en semestres),Título,Grado Académico,Promedio Puntaje (promedio matemáticas y lenguaje),Puntaje de corte (primer seleccionado),Puntaje de corte (promedio de la carrera),Puntaje de corte (último seleccionado),Promedio Puntaje NEM,Promedio Puntaje Ranking,Nº Alumnos Ingreso Via PSU o PDT,Nº Alumnos Ingreso Otra Via,Valor de matrícula,Valor de arancel,Valor del Título,Tipo Moneda,Vacantes,Matrícula primer año hombres,Matrícula primer año mujeres,Matrícula primer año extranjeros,Matrícula Primer Año,Matrícula total hombres,Matrícula total mujeres,Matrícula total extranjeros,Matrícula Total
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7444,Administración pública y similares,Administración Pública,Diurno,Programa Regular,Administración y Comercio,Profesional con Licenciatura,Ingreso Directo,1954,Andrés Bello,11.0,Administrador Público,Licenciatura en Ciencias Políticas y Gubernamentales M/Gestión Pública ó Ciencias Políticas,702.0,919.0,758.0,708.0,815.0,847.0,129.0,21.0,177300.0,4861900.0,121000.0,Pesos,130.0,68.0,82.0,2.0,150,302.0,392.0,5.0,694
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,27288,"Contabilidad, Auditoría y similares",Contador Auditor,Diurno,Programa Regular,Administración y Comercio,Profesional con Licenciatura,Ingreso Directo,2013,Andrés Bello,10.0,Contador Auditor,Licenciado en Sistemas de Información y Control de Gestión,766.0,885.0,750.0,704.0,858.0,907.0,84.0,15.0,177300.0,6137900.0,121000.0,Pesos,70.0,54.0,45.0,10.0,99,191.0,205.0,23.0,396
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7420,Ingeniería Comercial,Ingeniería Comercial,Diurno,Programa Regular,Administración y Comercio,Profesional con Licenciatura,Ingreso Directo,1924,Andrés Bello,10.0,Ingeniero Comercial,Licenciatura en Ciencias Económicas o en Ciencias de la Administración de Empresas,863.0,963.0,838.0,803.0,874.0,892.0,419.0,168.0,177300.0,6844100.0,121000.0,Pesos,380.0,353.0,234.0,16.0,587,1535.0,1126.0,52.0,2661
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,27287,Ingeniería en Control de Gestión y similares,Ingeniería en Información y Control de Gestión,Diurno,Programa Regular,Administración y Comercio,Profesional con Licenciatura,Ingreso Directo,2013,Andrés Bello,10.0,Ingeniero en Información y Control de Gestión,Licenciado en Sistemas de Información y Control de Gestión,771.0,881.0,752.0,701.0,840.0,875.0,172.0,15.0,177300.0,6137900.0,121000.0,Pesos,140.0,101.0,86.0,10.0,187,395.0,358.0,27.0,753
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,La Pintana,Región Metropolitana,7417,Ingeniería Agronómica,Ingeniería Agronómica,Diurno,Programa Regular,"Agricultura, Silvicultura, Pesca y Veterinaria",Profesional con Licenciatura,Ingreso Directo,1915,Sur,10.0,Ingeniero Agrónomo,Licenciado en Ciencias Agropecuarias,649.0,830.0,674.0,603.0,739.0,765.0,129.0,3.0,177300.0,5681600.0,121000.0,Pesos,130.0,76.0,56.0,4.0,132,378.0,268.0,6.0,646
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,La Pintana,Región Metropolitana,7418,Ingeniería Forestal y similares,Ingeniería Forestal,Diurno,Programa Regular,"Agricultura, Silvicultura, Pesca y Veterinaria",Profesional con Licenciatura,Ingreso Directo,1952,Sur,10.0,Ingeniero Forestal,Licenciado en Ciencias Forestales,659.0,919.0,678.0,574.0,734.0,757.0,66.0,2.0,177300.0,5681600.0,121000.0,Pesos,50.0,37.0,31.0,2.0,68,163.0,151.0,6.0,314
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,La Pintana,Región Metropolitana,7431,Medicina Veterinaria,Medicina Veterinaria,Diurno,Programa Regular,"Agricultura, Silvicultura, Pesca y Veterinaria",Profesional con Licenciatura,Ingreso Directo,1915,Sur,10.0,Médico Veterinario,Licenciado en Ciencias Veterinarias y Pecuarias,748.0,904.0,764.0,725.0,849.0,888.0,180.0,30.0,177300.0,5681600.0,121000.0,Pesos,180.0,62.0,148.0,7.0,210,442.0,1082.0,21.0,1524
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7404,Actuación y similares,Actuación Teatral,Diurno,Programa Regular,Arte y Arquitectura,Profesional con Licenciatura,Ingreso Directo,1941,Andrés Bello,10.0,Actor o Actriz,Licenciado en Artes M/Actuación Teatral,689.0,844.0,767.0,719.0,766.0,789.0,26.0,3.0,177300.0,4471900.0,80000.0,Pesos,25.0,9.0,20.0,1.0,29,42.0,103.0,2.0,145
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Santiago,Región Metropolitana,7402,Arquitectura,Arquitectura,Diurno,Programa Regular,Arte y Arquitectura,Profesional con Licenciatura,Ingreso Directo,1896,Andrés Bello,12.0,Arquitecto,Licenciado en Arquitectura,781.0,911.0,770.0,728.0,846.0,878.0,229.0,25.0,177300.0,5323600.0,121000.0,Pesos,145.0,126.0,128.0,10.0,254,638.0,844.0,34.0,1482
2023,1001,U. DE CHILE,Univ.,(a) Universidades CRUCH,(a) Universidades Estatales CRUCH,(a) Acreditada,(a) Autónoma,(a) Adscritas a Gratuidad,(a) Subsistema Universitario,Ñuñoa,Región Metropolitana,11675,Cine y Televisión,Cine y Televisión,Diurno,Programa Regular,Arte y Arquitectura,Profesional con Licenciatura,Ingreso Directo,2006,Juan Gómez Millas,10.0,Realizador en Cine y Televisión,Licenciado en Comunicación Audiovisual,761.0,919.0,798.0,751.0,866.0,894.0,59.0,14.0,177300.0,5565400.0,121000.0,Pesos,57.0,35.0,38.0,3.0,73,186.0,159.0,6.0,345
